,model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
1,13022_41_50_51_A,13022_41_50_51,A,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,1,136,13022,51,1705955,0
2,13022_41_50_51_A,13022_41_50_51,A,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,1,16,13022,51,416311,0
3,13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,2,30,13022,50,859,3
4,13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,2,46,13022,50,1709,2
5,13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,2,12175,13022,51,1705955,0
6,13022_41_50_51_B,13022_41_50_51,B,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,2,6634,13022,51,416311,1
7,13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,3,2,13022,50,859,0
8,13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,3,1,13022,50,1709,0
9,13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,3,414700,13022,51,1705955,24
10,13022_41_50_51_C,13022_41_50_51,C,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,3,75805,13022,51,416311,18
,13022_41_50_51_D,13022_41_50_48,D,73,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,4,1,13022,50,1705955,0
,13022_41_50_51_D,13022_41_50_49,D,74,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,4,1,13022,50,416311,0
,13022_41_50_51_D,13022_41_50_50,D,75,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,4,1,13022,51,859,0
11,13022_41_50_51_D,13022_41_50_51,D,76,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,1,1,13022,51,1709,0
12,13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,5,104,13022,50,859,12
13,13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,5,175,13022,50,1709,10
14,13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,5,926755,13022,51,1705955,54
15,13022_41_50_51_E,13022_41_50_51,E,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,5,180980,13022,51,416311,43
16,13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,180,184,13022,50,859,21
17,13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,180,466,13022,50,1709,27
18,13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,180,39441,13022,51,1705955,2
19,13022_41_50_51_Agriculture,13022_41_50_51,Agriculture,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,180,47194,13022,51,416311,11
20,13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,120,232,13022,50,859,27
21,13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,120,319,13022,50,1709,18
22,13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,120,103698,13022,51,1705955,6
23,13022_41_50_51_Developed,13022_41_50_51,Developed,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,120,32602,13022,51,416311,7
24,13022_41_50_51_Water,13022_41_50_51,Water,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,NA,NA,NA,NA,NA,NA,NA
25,13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,6,287,13022,50,859,33
26,13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,6,611,13022,50,1709,35
27,13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,6,142896,13022,51,1705955,8
28,13022_41_50_51_UN,13022_41_50_51,UN,0,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,6,58231,13022,51,416311,13
