TransitionGroupID,Model_Code,annual_probability,BpS_Name,VALUE,ACRES,REL_PERCENT,annual_dist_acres
All Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,379395,21.1,184.38597
All Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,92585,5.2,44.99631
All Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,191,0,0.092826
All Fire,13022_41_50_51,0.000486,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,380,0,0.18468
All Fire,13023_51,0.0009718,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,0,0,0
All Fire,13441_51,0.1932342,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,110054,6.1,21266.19665
All Fire,13442_51,0.0091302,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,11395,0.6,104.038629
All Fire,13620_51_63_64_65_66,0.0205164,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,61375,3.4,1259.19405
All Fire,13622_41_50,0.0294152,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,494,0,14.5311088
All Fire,13651_51,0.0039598,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,95366,5.3,377.6302868
All Fire,13652_51,0.0018992,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,109018,6.1,207.0469856
All Fire,13660_50,0.0065894,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,25,0,0.164735
All Fire,13660_51_63_64_65_66,0.0064298,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,95515,5.3,614.142347
All Fire,14071_41_50_51,0.227989,Laurentian Pine-Oak Barrens,1628,22250,1.2,5072.75525
All Fire,14072_41_50_51,0.118221,Laurentian Pine-Oak Barrens - Jack Pine,1629,6082,0.3,719.020122
All Fire,14072_41_50_51,0.118221,Laurentian Pine-Oak Barrens - Jack Pine,1573,4,0,0.472884
All Fire,14120_39_40_41_42_43_50_51,0.2928476,North-Central Interior Sand and Gravel Tallgrass Prairie,1575,24,0,7.0283424
All Fire,14210_31_38_42_43_44_50_51,0.2824352,Central Tallgrass Prairie,1576,2,0,0.5648704
All Fire,14440_41_50_51,0.0049654,Eastern Boreal Floodplain,1633,16055,0.9,79.719497
All Fire,14660_50_51,0.0021454,Great Lakes Wooded Dune and Swale,1578,76,0,0.1630504
All Fire,14750_41_50_51_63_64_65_66,0.0170888,Laurentian-Acadian Floodplain Systems,1636,6433,0.4,109.9322504
All Fire,14770_40_41_50_51,0.0096418,Boreal Acidic Peatland Systems,1637,311551,17.4,3003.912432
All Fire,14770_40_41_50_51,0.0096418,Boreal Acidic Peatland Systems,1581,721,0,6.9517378
All Fire,14810_41_50_51_63,0.000999,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1639,430879,24,430.448121
All Fire,14810_41_50_51_63,0.000999,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1583,952,0.1,0.951048
All Fire,14940_41_50_51,0.0564512,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,1641,163,0,9.2015456
All Transitions,13022_41_50_51,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,379395,21.1,677.827107
All Transitions,13022_41_50_51,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,92585,5.2,165.412361
All Transitions,13022_41_50_51,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,191,0,0.3412406
All Transitions,13022_41_50_51,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,380,0,0.678908
All Transitions,13023_51,0.0027784,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,1616,0,0,0
All Transitions,13441_51,0.1932342,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,1620,110054,6.1,21266.19665
All Transitions,13442_51,0.009817,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,1621,11395,0.6,111.864715
All Transitions,13620_51_63_64_65_66,0.0272662,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,61375,3.4,1673.463025
All Transitions,13622_41_50,0.0303678,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,2726,494,0,15.0016932
All Transitions,13651_51,0.0836148,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,95366,5.3,7974.009017
All Transitions,13652_51,0.0173768,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,109018,6.1,1894.383982
All Transitions,13660_50,0.0075898,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1569,25,0,0.189745
All Transitions,13660_51_63_64_65_66,0.007392,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1625,95515,5.3,706.04688
All Transitions,14071_41_50_51,0.228269,Laurentian Pine-Oak Barrens,1628,22250,1.2,5078.98525
All Transitions,14072_41_50_51,0.1202254,Laurentian Pine-Oak Barrens - Jack Pine,1629,6082,0.3,731.2108828
All Transitions,14072_41_50_51,0.1202254,Laurentian Pine-Oak Barrens - Jack Pine,1573,4,0,0.4809016
All Transitions,14120_39_40_41_42_43_50_51,0.3074404,North-Central Interior Sand and Gravel Tallgrass Prairie,1575,24,0,7.3785696
All Transitions,14210_31_38_42_43_44_50_51,0.3125626,Central Tallgrass Prairie,1576,2,0,0.6251252
All Transitions,14440_41_50_51,0.1281268,Eastern Boreal Floodplain,1633,16055,0.9,2057.075774
All Transitions,14660_50_51,0.0077348,Great Lakes Wooded Dune and Swale,1578,76,0,0.5878448
All Transitions,14750_41_50_51_63_64_65_66,0.2307958,Laurentian-Acadian Floodplain Systems,1636,6433,0.4,1484.709381
All Transitions,14770_40_41_50_51,0.0232502,Boreal Acidic Peatland Systems,1637,311551,17.4,7243.62306
All Transitions,14770_40_41_50_51,0.0232502,Boreal Acidic Peatland Systems,1581,721,0,16.7633942
All Transitions,14810_41_50_51_63,0.0051708,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1639,430879,24,2227.989133
All Transitions,14810_41_50_51_63,0.0051708,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,1583,952,0.1,4.9226016
All Transitions,14920_41_50_51_52_63,0.022358,Great Lakes Coastal Marsh Systems,1584,4851,0.3,108.458658
All Transitions,14920_41_50_51_52_63,0.022358,Great Lakes Coastal Marsh Systems,1640,3416,0.2,76.374928
All Transitions,14940_41_50_51,0.39658,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,1641,163,0,64.64254
Alternative Succession,13022_41_50_51,0.000384,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1614,379395,21.1,145.68768
Alternative Succession,13022_41_50_51,0.000384,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1615,92585,5.2,35.55264
Alternative Succession,13022_41_50_51,0.000384,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1561,191,0,0.073344
Alternative Succession,13022_41_50_51,0.000384,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,1562,380,0,0.14592
Alternative Succession,13620_51_63_64_65_66,0.0008822,Laurentian-Acadian Northern Pine(-Oak) Forest,1622,61375,3.4,54.145025
Alternative Succession,13651_51,0.0022104,Boreal White Spruce-Fir-Hardwood Forest - Inland,1623,95366,5.3,210.7970064
Alternative Succession,13652_51,0.0013544,Boreal White Spruce-Fir-Hardwood Forest - Coastal,1624,109018,6.1,147.6539792
Alternative Succession,14071_41_50_51,0.00028,Laurentian Pine-Oak Barrens,1628,22250,1.2,6.23
Alternative Succession,14120_39_40_41_42_43_50_51,0.008124,North-Central Interior Sand and Gravel Tallgrass Prairie,1575,24,0,0.194976
Alternative Succession,14210_31_38_42_43_44_50_51,0.0058724,Central Tallgrass Prairie,1576,2,0,0.0117448
Alternative Succession,14940_41_50_51,0.012298,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,1641,163,0,2.004574
